ID,Name,Company Type,Address Type,Street,City,Zip,State/External ID,Country/External ID
ab-brooks,AB-BROOKS,company,contact,608 2nd Street West,Brooks,T1R 1A8,base.state_ca_ab,base.ca
ab-calgary-harry_hays,AB-CALGARY-Harry_Hays,company,contact,220 4th Ave South-East,Calgary,T2G 4X3,base.state_ca_ab,base.ca
ab-calgary-harry_haysppt,AB-CALGARY-Harry_HaysPPT,company,contact,220 4th Ave South-East,Calgary,T2G 4X3,base.state_ca_ab,base.ca
ab-calgary-one_executive_place,AB-CALGARY-One_Executive_Place,company,contact,1816 Crowchild Trail North-West,Calgary,T2M 3Y7,base.state_ca_ab,base.ca
ab-calgary-royal_vista,AB-CALGARY-Royal_Vista,company,contact,15 Royal Vista Place NW,Calgary,T3R 0P3,base.state_ca_ab,base.ca
ab-calgary-southppt,AB-CALGARY-SouthPPT,company,contact,120-23 Sunpark Drive SE,Calgary,T2X 3V1,base.state_ca_ab,base.ca
ab-calgary-temple_cross_mall,AB-CALGARY-Temple_Cross_Mall,company,contact,5401 Temple Drive,Calgary,T1Y 3R7,base.state_ca_ab,base.ca
ab-camrose,AB-CAMROSE,company,contact,4901 50th Ave,Camrose,T4V 0S2,base.state_ca_ab,base.ca
ab-canmore,AB-CANMORE,company,contact,802 Bow Valley Trail West,Canmore,T1W 1N6,base.state_ca_ab,base.ca
ab-edmonton-canada_place,AB-EDMONTON-Canada_Place,company,contact,9700 Jasper Ave North-West,Edmonton,T5J 4C1,base.state_ca_ab,base.ca
ab-edmonton-capital_boulevard,AB-EDMONTON-Capital_Boulevard,company,contact,10044 108 Street,Edmonton,T5J 3S7,base.state_ca_ab,base.ca
ab-edmonton-file_management_centre,AB-EDMONTON-File_Management_Centre,company,contact,17412 116 Avenue North West,Edmonton,T5L 4L2,base.state_ca_ab,base.ca
ab-edmonton-hermitage_square,AB-EDMONTON-Hermitage_Square,company,contact,12735 50 Street,Edmonton,T5A 4L8,base.state_ca_ab,base.ca
ab-edmonton-millbourne_mall,AB-EDMONTON-Millbourne_Mall,company,contact,148 38 Avenue & Millwoods Rd,Edmonton,T6K 3L6,base.state_ca_ab,base.ca
ab-edmonton-roper_ridge_business_park,AB-EDMONTON-Roper_Ridge_Business_Park,company,contact,5605 70th Street North-West,Edmonton,T6B 3P6,base.state_ca_ab,base.ca
ab-edmonton-sunwapta_park,AB-EDMONTON-Sunwapta_Park,company,contact,9700 Jasper Ave North-West,Edmonton,T5J 4C3,base.state_ca_ab,base.ca
ab-edmonton-westlink,AB-EDMONTON-Westlink,company,contact,100-16826 107 Avenue,Edmonton,T5P 4C3,base.state_ca_ab,base.ca
ab-edson,AB-EDSON,company,contact,4905 4th Avenue,Edson,T7E 1T2,base.state_ca_ab,base.ca
ab-fort_mcmurray,AB-FORT_MCMURRAY,company,contact,8530 Manning Ave.,Fort McMurray,T9H 5G2,base.state_ca_ab,base.ca
ab-grande_prairie,AB-GRANDE_PRAIRIE,company,contact,101-11601 101st Avenue,Grande Prairie,T8V 3X9,base.state_ca_ab,base.ca
ab-lethbridge,AB-LETHBRIDGE,company,contact,101-920 2A Ave North,Lethbridge,T1H 0E3,base.state_ca_ab,base.ca
